158,0,24,98,98,80,130,36,62,108,128,46,72,0,100,68,96,68,80,0,110,40,0,54,0,38,34,102,66,30,22,96,48,94,84,320,224,78,56,204,158
98,0,18,67,64,49,89,23,44,64,88,31,44,0,60,46,58,47,51,0,83,20,0,34,0,20,20,66,39,18,17,62,34,62,57,208,144,45,37,135,112
107,0,15,58,68,50,89,23,42,65,93,30,45,0,72,45,74,51,58,0,81,28,0,34,0,24,21,69,48,18,13,63,32,67,60,223,151,53,32,146,106
88,0,14,59,58,55,76,24,53,57,95,33,53,0,61,41,55,51,50,0,71,26,0,36,0,19,18,61,38,16,12,57,32,56,52,227,146,45,35,135,105
126,0,13,62,58,82,108,32,78,64,128,48,61,0,75,44,57,75,71,0,97,30,0,53,0,23,19,70,41,17,11,63,29,62,56,333,212,51,34,196,143
94,0,16,53,54,42,70,20,32,57,70,24,40,0,57,37,52,40,42,0,59,23,0,28,0,20,18,55,36,16,12,51,28,51,45,180,124,42,32,113,85
92,0,13,64,72,54,71,23,51,80,100,25,55,0,62,42,58,71,57,0,69,21,0,32,0,28,21,59,53,20,14,68,34,61,61,206,145,52,40,139,109
105,0,21,61,64,42,83,27,45,63,85,28,45,0,62,42,59,47,57,0,70,20,0,31,0,24,24,59,42,18,14,60,33,59,54,200,143,48,33,136,108
94,0,16,51,54,54,74,21,43,61,100,29,36,0,59,42,54,51,46,0,64,25,0,32,0,22,17,57,39,16,11,52,26,55,47,225,140,43,30,132,92
99,0,21,58,57,82,105,32,83,59,136,39,56,0,67,39,58,76,79,0,85,28,0,45,0,22,19,66,41,15,11,59,30,63,51,306,198,49,34,186,152
94,0,14,52,57,63,85,35,46,57,97,32,43,0,62,41,53,55,62,0,70,32,0,39,0,24,19,60,42,15,11,55,28,59,47,231,158,47,32,148,111
85,0,14,53,56,43,79,21,36,71,71,27,40,0,53,35,50,37,50,0,59,21,0,32,0,25,19,53,44,17,13,51,28,53,46,172,123,47,31,117,92
120,0,13,63,59,82,112,36,70,63,125,54,54,0,78,41,56,65,78,0,90,37,0,46,0,24,21,70,39,16,13,65,28,66,56,328,205,49,32,191,137
