c_score,auc,sample_size,iter
0.6,0.5,50,66
0.5,0.5,100,66
0.534,0.5,500,66
0.8,1.0,10,67
0.48,0.5,50,67
0.43,0.5,100,67
0.504,0.5,500,67
0.5,0.5,10,68
0.48,0.5,50,68
0.59,0.5,100,68
0.476,0.5,500,68
0.3,0.5,10,69
0.52,0.5,50,69
0.51,0.5,100,69
0.548,0.5,500,69
0.3,0.5,10,70
0.54,0.5,50,70
0.47,0.5,100,70
0.456,0.5,500,70
0.5,0.5,10,71
0.36,0.5,50,71
0.61,0.5,100,71
0.542,0.5,500,71
0.2,0.5,10,72
0.38,0.5,50,72
0.5,0.5,100,72
0.462,0.5,500,72
0.7,0.5,10,73
0.44,0.5,50,73
0.48,0.5,100,73
0.47,0.5,500,73
0.3,0.5,10,74
0.62,0.5,50,74
0.47,0.5,100,74
0.524,0.5,500,74
0.3,0.5,10,75
0.5,0.5,50,75
0.46,0.5,100,75
0.46,0.5,500,75
0.0,0.5,10,76
0.34,0.5,50,76
0.53,0.5,100,76
0.546,0.5,500,76
0.3,0.5,10,77
0.56,0.5,50,77
0.59,0.5,100,77
0.516,0.5,500,77
0.5,0.5,10,78
0.6,0.5,50,78
0.57,0.5,100,78
0.556,0.5,500,78
0.3,0.5,10,79
0.54,0.5,50,79
0.48,0.5,100,79
0.54,0.5,500,79
0.0,0.5,10,80
0.36,0.5,50,80
0.54,0.5,100,80
0.508,0.5,500,80
0.1,0.5,10,81
0.56,0.5,50,81
0.63,0.5,100,81
0.506,0.5,500,81
0.1,0.5,10,82
0.62,0.5,50,82
0.43,0.5,100,82
0.462,0.5,500,82
0.2,0.5,10,83
0.5,0.5,50,83
0.51,0.5,100,83
0.512,0.5,500,83
0.2,0.5,10,84
0.46,0.5,50,84
0.54,0.5,100,84
0.528,0.5,500,84
0.4,0.5,10,85
0.5,0.5,50,85
0.51,0.5,100,85
0.536,0.5,500,85
0.2,0.5,10,86
0.4,0.5,50,86
0.49,0.5,100,86
0.494,0.5,500,86
0.5,0.5,10,87
0.4,0.5,50,87
0.52,0.5,100,87
0.434,0.5,500,87
0.5,0.5,10,88
0.48,0.5,50,88
0.56,0.5,100,88
0.424,0.5,500,88
0.4,0.5,10,89
0.5,0.5,50,89
0.49,0.5,100,89
0.476,0.5,500,89
0.2,0.5,10,90
0.4,0.5,50,90
0.66,0.5,100,90
0.484,0.5,500,90
0.2,0.5,10,91
0.54,0.5,50,91
0.61,0.5,100,91
0.536,0.5,500,91
0.5,0.5,10,92
0.58,0.5,50,92
0.48,0.5,100,92
0.5,0.5,500,92
0.1,0.5,10,93
0.52,0.5,50,93
0.5,0.5,100,93
0.466,0.5,500,93
0.0,0.5,10,94
0.28,0.5,50,94
0.3,0.5,100,94
0.502,0.5,500,94
0.7,0.5,10,95
0.58,0.5,50,95
0.43,0.5,100,95
0.484,0.5,500,95
0.6,0.5,10,96
0.34,0.5,50,96
0.43,0.5,100,96
0.544,0.5,500,96
0.4,0.5,10,97
0.46,0.5,50,97
0.42,0.5,100,97
0.552,0.5,500,97
0.0,0.5,10,98
0.52,0.5,50,98
0.29,0.5,100,98
0.51,0.5,500,98
0.7,0.5,10,99
0.28,0.5,50,99
0.45,0.5,100,99
0.484,0.5,500,99
