c_score,auc,sample_size,iter
0.5,0.5,10,0
0.666666666667,0.5,50,0
0.525,0.5,100,0
0.487878787879,0.5,500,0
0.486567164179,0.5,10,1
0.484722222222,0.5,50,1
0.484146341463,0.5,100,1
0.506818181818,0.5,500,1
0.505263157895,0.5,10,2
0.503623188406,0.5,50,2
0.503378378378,0.5,100,2
0.505555555556,0.5,500,2
0.506532663317,0.5,10,3
0.50637254902,0.5,50,3
0.502803738318,0.5,100,3
0.514393939394,0.5,500,3
0.513962264151,0.5,10,4
0.514074074074,0.5,50,4
0.51,0.5,100,4
0.508484848485,0.5,500,4
0.508761329305,0.5,10,5
0.508333333333,0.5,50,5
0.505202312139,0.5,100,5
0.5,0.5,500,5
0.498992443325,0.5,10,6
0.498258706468,0.5,50,6
0.498058252427,0.5,100,6
0.494372294372,0.5,500,6
0.494816414687,0.5,10,7
0.496367521368,0.5,50,7
0.496234309623,0.5,100,7
0.496212121212,0.5,500,7
0.49640831758,0.5,10,8
0.495880149813,0.5,50,8
0.495772058824,0.5,100,8
0.498148148148,0.5,500,8
0.498823529412,0.5,10,9
0.497833333333,0.5,50,9
0.497213114754,0.5,100,9
0.500151515152,0.5,500,9
0.500302571861,0.5,10,10
0.50015015015,0.5,50,10
0.49926035503,0.5,100,10
0.500137741047,0.5,500,10
0.500137551582,0.5,10,11
0.498907103825,0.5,50,11
0.498921832884,0.5,100,11
0.499873737374,0.5,500,11
0.49974779319,0.5,10,12
0.500626566416,0.5,50,12
0.501856435644,0.5,100,12
0.501282051282,0.5,500,12
0.501047729919,0.5,10,13
0.500925925926,0.5,50,13
0.501029748284,0.5,100,13
0.501515151515,0.5,500,13
0.501621621622,0.5,10,14
0.501720430108,0.5,50,14
0.502446808511,0.5,100,14
0.502121212121,0.5,500,14
0.502219979818,0.5,10,15
0.502710843373,0.5,50,15
0.502783300199,0.5,100,15
0.505681818182,0.5,500,15
0.505865657521,0.5,10,16
0.505743879473,0.5,50,16
0.505597014925,0.5,100,16
0.505169340463,0.5,500,16
0.505253784506,0.5,10,17
0.504964539007,0.5,50,17
0.504920913884,0.5,100,17
0.505471380471,0.5,500,17
0.505719091674,0.5,10,18
0.506448911223,0.5,50,18
0.505647840532,0.5,100,18
0.505741626794,0.5,500,18
0.505498007968,0.5,10,19
0.505158730159,0.5,50,19
